Reference, Value, Footprint, Datasheet, Field4, Field5, Field6, Field7, Field8, Field9, Field10, Field11
L101,OSHW,TinyTiM_Lib:OSHW_6mm,
C601,100n,TinyTiM_Libs:c_0805,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
U602,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U603,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U604,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U605,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U606,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U607,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U608,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
C617,47u,8V,TinyTiM_Libs:c_2917,,CAP ALUM 47UF 8V 20% SMD,47u,8V,2917 (7343 Metric),Panasonic Electronic Components,EEF-CD0K470R,Digikey,PCE3606CT-ND,http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442
U501,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
C501,100n,TinyTiM_Libs:c_0805,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
U502,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U503,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U504,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U505,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U506,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U507,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U508,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
S501,CONN_1,TinyTiM_Libs:Screw_NPTH,
S502,CONN_1,TinyTiM_Libs:Screw_NPTH,
C517,47u,8V,TinyTiM_Libs:c_2917,,CAP ALUM 47UF 8V 20% SMD,47u,8V,2917 (7343 Metric),Panasonic Electronic Components,EEF-CD0K470R,Digikey,PCE3606CT-ND,http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442
U401,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
C401,100n,TinyTiM_Libs:c_0805,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
U402,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U403,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U404,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U405,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U406,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U407,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U408,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
S401,CONN_1,TinyTiM_Libs:Screw_NPTH,
S402,CONN_1,TinyTiM_Libs:Screw_NPTH,
C417,47u,8V,TinyTiM_Libs:c_2917,,CAP ALUM 47UF 8V 20% SMD,47u,8V,2917 (7343 Metric),Panasonic Electronic Components,EEF-CD0K470R,Digikey,PCE3606CT-ND,http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442
U301,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
C301,100n,TinyTiM_Libs:c_0805,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
U302,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U303,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U304,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U305,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U306,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U307,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U308,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
C317,47u,8V,TinyTiM_Libs:c_2917,,CAP ALUM 47UF 8V 20% SMD,47u,8V,2917 (7343 Metric),Panasonic Electronic Components,EEF-CD0K470R,Digikey,PCE3606CT-ND,http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442
U201,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
C201,100n,TinyTiM_Libs:c_0805,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
U202,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U203,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U204,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U205,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U206,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U207,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
U208,RGB_WS2811B,TinyTiM_Libs:RGB_WS2811B_Trans,
