ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
C403	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C404	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C405	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C406	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C407	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C408	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C409	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C410	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C411	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C412	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C413	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C414	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C415	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C416	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C417	47u,8V	c_2917	CAP ALUM 47UF 8V 20% SMD	47u,8V	2917 (7343 Metric)	Panasonic Electronic Components	EEF-CD0K470R	Digikey	PCE3606CT-ND	http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442
C501	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
